Decimal, Binary, Hexadecimal
-39, , 
-36, , 
8, 1000, 8
34, 100010, 22
17, 10001, 11
49, 110001, 31
5, 101, 5
39, 100111, 27
0, 0, 0
33, 100001, 21
12, 1100, C
-6, , 
27, 11011, 1B
-4, , 
-38, , 
26, 11010, 1A
49, 110001, 31
29, 11101, 1D
42, 101010, 2A
-16, , 
-28, , 
34, 100010, 22
20, 10100, 14
0, 0, 0
25, 11001, 19
45, 101101, 2D
3, 11, 3
-46, , 
-46, , 
29, 11101, 1D
33, 100001, 21
29, 11101, 1D
26, 11010, 1A
-5, , 
-36, , 
12, 1100, C
45, 101101, 2D
-50, , 
0, 0, 0
-6, , 
-39, , 
35, 100011, 23
26, 11010, 1A
-35, , 
-42, , 
14, 1110, E
-3, , 
22, 10110, 16
-47, , 
12, 1100, C
-17, , 
-31, , 
-25, , 
-35, , 
-18, , 
14, 1110, E
37, 100101, 25
-8, , 
-41, , 
-50, , 
-9, , 
2, 10, 2
12, 1100, C
-39, , 
-17, , 
0, 0, 0
27, 11011, 1B
28, 11100, 1C
45, 101101, 2D
-44, , 
28, 11100, 1C
35, 100011, 23
-33, , 
43, 101011, 2B
-4, , 
23, 10111, 17
-49, , 
49, 110001, 31
-7, , 
-38, , 
-45, , 
5, 101, 5
-21, , 
26, 11010, 1A
-2, , 
-24, , 
6, 110, 6
-45, , 
-4, , 
15, 1111, F
0, 0, 0
-17, , 
-35, , 
43, 101011, 2B
45, 101101, 2D
-35, , 
-8, , 
28, 11100, 1C
47, 101111, 2F
34, 100010, 22
-24, , 
-42, , 
-13, , 
14, 1110, E
-45, , 
-35, , 
27, 11011, 1B
-12, , 
-19, , 
-20, , 
-14, , 
20, 10100, 14
30, 11110, 1E
12, 1100, C
-36, , 
-47, , 
-27, , 
-3, , 
6, 110, 6
36, 100100, 24
9, 1001, 9
-16, , 
36, 100100, 24
-27, , 
7, 111, 7
-6, , 
-5, , 
5, 101, 5
47, 101111, 2F
23, 10111, 17
-48, , 
-24, , 
40, 101000, 28
-4, , 
-18, , 
-19, , 
14, 1110, E
15, 1111, F
1, 1, 1
24, 11000, 18
-9, , 
-50, , 
18, 10010, 12
15, 1111, F
30, 11110, 1E
44, 101100, 2C
9, 1001, 9
19, 10011, 13
33, 100001, 21
41, 101001, 29
-24, , 
43, 101011, 2B
48, 110000, 30
-23, , 
7, 111, 7
28, 11100, 1C
8, 1000, 8
-2, , 
37, 100101, 25
42, 101010, 2A
-17, , 
-6, , 
36, 100100, 24
22, 10110, 16
27, 11011, 1B
31, 11111, 1F
-47, , 
-43, , 
0, 0, 0
27, 11011, 1B
30, 11110, 1E
12, 1100, C
-15, , 
-19, , 
-42, , 
-37, , 
31, 11111, 1F
-10, , 
18, 10010, 12
33, 100001, 21
-15, , 
17, 10001, 11
25, 11001, 19
-25, , 
-5, , 
33, 100001, 21
-13, , 
33, 100001, 21
-10, , 
47, 101111, 2F
47, 101111, 2F
-13, , 
-32, , 
1, 1, 1
1, 1, 1
-25, , 
-33, , 
16, 10000, 10
17, 10001, 11
4, 100, 4
Time elapsed: 0.0007 seconds
